aircraft_iata,aircraft_name,capacity,country_iso
AT4,Aerospatiale/Alenia ATR 42-300 / 320,50,FR
AT5,Aerospatiale/Alenia ATR 42-500,50,FR
ATR,Aerospatiale/Alenia ATR 42/ ATR 72,74,FR
AT7,Aerospatiale/Alenia ATR 72,74,FR
SSC,Aerospatiale/BAC Concorde,128,FR
AB3,Airbus A300 pax,200,EU
AB6,Airbus A300-600 pax,266,EU
31F,Airbus A310 Freighter,,EU
310,Airbus A310 all pax models,198,EU
31X,Airbus A310-200 Freighter,,EU
312,Airbus A310-200 pax,198,EU
31Y,Airbus A310-300 Freighter,,EU
313,Airbus A310-300 pax,218,EU
32S,Airbus A318/319/320/321,150,EU
318,Airbus A318,107,EU
319,Airbus A319,124,EU
320,Airbus A320-100/200,150,EU
321,Airbus A321-100/200,186,EU
330,Airbus A330 all models,293,EU
332,Airbus A330-200,293,EU
333,Airbus A330-300,335,EU
340,Airbus A340 all models,303,EU
342,Airbus A340-200,303,EU
343,Airbus A340-300,335,EU
345,Airbus A340-500,316,EU
346,Airbus A340-600,372,EU
38F,Airbus A380 Freighter,,EU
380,Airbus A380 pax,525,EU
388,Airbus A380-800 pax,555,EU
A4F,Antonov AN-124 Ruslan,,UA
ANF,Antonov AN-12,14,UA
A40,Antonov AN-140,50,UA
A30,Antonov AN-30,50,UA
A32,Antonov AN-32,50,UA
AR1,Avro RJ100 Avroliner,100,GB
AR7,Avro RJ70 Avroliner,70,GB
ARJ,Avro RJ70 RJ85 / RJ100 Avroliner,100,GB
AR8,Avro RJ85 Avroliner,85,GB
AX1,Avro RJX100,100,GB
ARX,Avro RJX85 RJX100,100,GB
14F,BAe 146 Freighter (-100/200/300QT),,GB
14X,BAe 146 Freighter (-100QT & QC),,GB
14Y,BAe 146 Freighter (-200QT & QC),,GB
14Z,BAe 146 Freighter (-200QT & QC),,GB
146,BAe 146 all pax models,70,GB
141,BAe 146-100 Pax,70,GB
142,BAe 146-200 Pax,112,GB
143,BAe 146-300 Pax,128,GB
70M,Boeing 707 Combi,,US
70F,Boeing 707 Freighter,,US
703,Boeing 707-300 pax,189,US
707,Boeing 707/720 all pax models,112,US
717,Boeing 717,106,US
72M,Boeing 727 Combi,,US
72F,Boeing 727 Freighter (-100/200),,US
727,Boeing 727 all pax models,145,US
72X,Boeing 727-100 Freighter,,US
72B,Boeing 727-100 Mixed Configuration,145,US
721,Boeing 727-100 pax,145,US
72S,Boeing 727-200 Advanced pax,145,US
72Y,Boeing 727-200 Freighter,,US
72C,Boeing 727-200 Mixed Configuration,145,US
722,Boeing 727-200 pax,145,US
73F,Boeing 737 all Freighter models,,US
737,Boeing 737 all pax models,126,US
731,Boeing 737-100 pax,100,US
73M,Boeing 737-200 Combi,,US
73X,Boeing 737-200 Freighter,,US
732,Boeing 737-200 pax,115,US
73Y,Boeing 737-300 Freighter,,US
733,Boeing 737-300 pax,128,US
734,Boeing 737-400 pax,146,US
735,Boeing 737-500 pax,108,US
736,Boeing 737-600 pax,110,US
73W,Boeing 737-700 (winglets) pax,126,US
73G,Boeing 737-700 pax,126,US
73H,Boeing 737-800 (winglets) pax,162,US
738,Boeing 737-800 pax,162,US
739,Boeing 737-900 pax,177,US
74M,Boeing 747 all Combi models,266,US
74F,Boeing 747 all Freighter models,,US
747,Boeing 747 all pax models,416,US
74T,Boeing 747-100 Freighter,,US
741,Boeing 747-100 pax,452,US
74C,Boeing 747-200 Combi,210,US
74X,Boeing 747-200 Freighter,,US
742,Boeing 747-200 pax,452,US
74U,Boeing 747-300 / 747-200 SUD Freighter,,US
74D,Boeing 747-300 Combi,266,US
743,Boeing 747-300 pax,420,US
74J,Boeing 747-400 (Domestic) pax,568,US
74E,Boeing 747-400 Combi,266,US
74Y,Boeing 747-400 Freighter,,US
744,Boeing 747-400 pax,416,US
74L,Boeing 747SP,316,US
74V,Boeing 747SR Freighter,,US
74R,Boeing 747SR pax,316,US
75M,Boeing 757 Mixed Configuration,,US
757,Boeing 757 all pax models,178,US
752,Boeing 757-200 pax,178,US
753,Boeing 757-300 pax,240,US
76F,Boeing 767 all Freighter models,,US
767,Boeing 767 all pax models,216,US
76X,Boeing 767-200 Freighter,,US
762,Boeing 767-200 pax,216,US
76Y,Boeing 767-300 Freighter,,US
763,Boeing 767-300 pax,269,US
764,Boeing 767-400 pax,245,US
777,Boeing 777 all pax models,305,US
773,Boeing 777-300 pax,386,US
ATP,British Aerospace ATP,68,GB
JST,British Aerospace Jetstream 31 32 41,29,GB
J31,British Aerospace Jetstream 31,19,GB
J41,British Aerospace Jetstream 41,29,GB
B12,British Aerospace One Eleven 200,89,GB
B13,British Aerospace One Eleven 300,89,GB
B14,British Aerospace One Eleven 400/475,89,GB
B15,British Aerospace One Eleven 500,109,GB
B11,British Aerospace One Eleven,89,GB
BNT,Britten-Norman BN-2A Mk III Trislander,16,GB
CS2,CASA / IPTN 212 Aviocar,26,ES
CS5,CASA / IPTN CN-235,45,ES
CL4,Canadair CL-44,160,CA
CCJ,Canadair Challenger,18,CA
CR1,Canadair Regional Jet 100,50,CA
CR2,Canadair Regional Jet 200,50,CA
CR7,Canadair Regional Jet 700,70,CA
CR9,Canadair Regional Jet 900,80,CA
CRJ,Canadair Regional Jet,70,CA
DF2,Dassault Falcon 10 100 20 200 2000,8,FR
DF3,Dassault Falcon 50 900,18,FR
DFL,Dassault Falcon,18,FR
DHD,De Havilland DH.104 Dove,11,CA
DHH,De Havilland DH.114 Heron,17,CA
DHO,De Havilland DHC-3 Otter Turbo Otter,9,CA
DHL,De Havilland DHC-3 Turbo Otter,9,CA
DH7,De Havilland DHC-7 Dash 7,54,CA
DH8,De Havilland DHC-8 Dash 8 all models,50,CA
DH1,De Havilland DHC-8-100 Dash 8 8Q,40,CA
DH2,De Havilland DHC-8-200 Dash 8 8Q,40,CA
DH3,De Havilland DHC-8-300 Dash 8 8Q,50,CA
DH4,De Havilland DHC-8-400 Dash 8Q,70,CA
D1F,Douglas DC-10 all Freighters,,US
D10,Douglas DC-10 pax,270,US
D1X,Douglas DC-10-10 Freighter,,US
D11,Douglas DC-10-10/15 pax,270,US
D1Y,Douglas DC-10-30 / 40 Freighters,,US
D1C,Douglas DC-10-30/40 pax,270,US
DC9,Douglas DC-9 all pax models,115,US
D91,Douglas DC-9-10 pax,80,US
D92,Douglas DC-9-20 pax,80,US
D93,Douglas DC-9-30 pax,115,US
D94,Douglas DC-9-40 pax,115,US
D95,Douglas DC-9-50 pax,115,US
EMJ,Embraer 170/190,98,BR
E70,Embraer 170,70,BR
E75,Embraer 175,78,BR
E90,Embraer 190,98,BR
E95,Embraer 195,116,BR
EMB,Embraer EMB.110 Bandeirnate,18,BR
EM2,Embraer EMB.120 Brasilia,30,BR
ERJ,Embraer RJ135 / RJ140 / RJ145,44,BR
ER3,Embraer RJ135,37,BR
ERD,Embraer RJ140,44,BR
ER4,Embraer RJ145 Amazon,50,BR
MBH,Eurocopter (MBB) Bo.105,5,DE
APH,Eurocopter SA330 Puma/AS332 Super Puma,17,FR
NDH,Eurocopter SA365C SA365N Dauphin 2,8,FR
SWM,Fairchild (Swearingen) SA26 SA226 SA227 Metro Merlin Expediter,12,US
FRJ,Fairchild Dornier 328JET,34,DE
D28,Fairchild Dornier Do.228,15,DE
D38,Fairchild Dornier Do.328,33,DE
F50,Fokker 50,50,NL
F70,Fokker 70,79,NL
F21,Fokker F.28 Fellowship 1000,65,NL
100,Fokker F100,100,NL
GRG,Grumman G.21 Goose,8,US
GRJ,Gulfstream G-1159 II III IV V,19,US
ACP,Gulfstream/Rockwell Commander,8,US
ACT,Gulfstream/Rockwell Turbo Commander,8,US
ACD,Gulfstream/Rockwell Turbo Commander,8,US
H25,Hawker Siddeley HS.125,12,GB
HS7,Hawker Siddeley HS.748,48,GB
I14,Ilyushin IL114,64,RU
I9M,Ilyushin IL96M pax,335,RU
L4T,LET 410,19,CZ
L11,Lockheed L-1011 50 100 150 200 250,256,US
L15,Lockheed L-1011 500 Tristar pax,256,US
L1F,Lockheed L-1011 Tristar Freighter,,US
L10,Lockheed L-1011 Tristar pax,256,US
LOH,Lockheed L-182 282 382 L-100 Hercules,,US
MIH,MIL Mi-8 / Mi-17 / Mi-171 / Mil-172,32,RU
M1F,McDonnell Douglas MD11 Freighter,,US
M1M,McDonnell Douglas MD11 Mixed Conf.,,US
M11,McDonnell Douglas MD11 pax,410,US
M80,McDonnell Douglas MD80,172,US
M81,McDonnell Douglas MD81,172,US
M82,McDonnell Douglas MD82,172,US
M83,McDonnell Douglas MD83,172,US
M87,McDonnell Douglas MD87,139,US
M88,McDonnell Douglas MD88,172,US
M90,McDonnell Douglas MD90,187,US
MU2,Mitsubishi Mu-2,11,JP
YS1,NAMC YS-11,60,JP
BES,Raytheon Beechcraft 1900/1900C,19,US
BEH,Raytheon Beechcraft 1900D,19,US
S20,Saab 2000,50,SE
SF3,Saab SF340A/B,37,SE
SHB,Shorts SC-5 Belfast,,GB
SHS,Shorts SC-7 Skyvan,19,GB
SH3,Shorts SD.330,30,GB
SH6,Shorts SD.360,36,GB
S58,Sikorsky S-58T,16,US
S61,Sikorsky S-61,30,US
S76,Sikorsky S-76,13,US
T20,Tupolev Tu-204 / Tu-214,212,RU
TU3,Tupolev Tu134,96,RU
TU5,Tupolev Tu154,164,RU
